item_id,item_image,item_name
661176010134,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DWP36_L_P_661176010134_1.png",4M צבע לשיער נטורטינט
8016744806633,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FPQ56_L_P_8016744806633_1.png",4N צבע לשיער הרבטינט
661176010905,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FAG42_L_P_661176010905_1.png",4N צבע לשיער נטורטינט
8016744802017,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/YUC48_L_P_8016744802017_1.png",4R צבע לשיער הרבטינט
80518532743,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/QMY46_L_P_80518532743_1.png",50 בלון פסטל
80518532743,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/QMY46_L_P_80518532743_1.png",50 בלון פסטל
80518532743,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/QMY46_L_P_80518532743_1.png",50 בלון פסטל
8016744806831,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FXG56_L_P_8016744806831_1.png",5C צבע לשיער הרבטינט
8016744806718,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FSX60_L_P_8016744806718_1.png",5D צבע לשיער הרבטינט
661176010097,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/DVE44_L_P_661176010097_1.png",5G צבע לשיער נטורטינט
8003437630569,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/FXQ54_L_P_8003437630569_1.png", מיקסר
8003437630699,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GCQ58_L_P_8003437630699_1.png", מיקסר
8003437630712,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_large/GDD44_L_P_8003437630712_1.png", מיקסר
